TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE
House for sale,749000,3,2,1400,"Brooklyn, NY 11234","4593 Kings HwyBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6306818,-73.9325033
Co-op for sale,398000,3,1,900,"Brooklyn, NY 11204","1953 65th St Apt 3ABrooklyn, NY 11204",New York,Kings County,Brooklyn,Mapleton,40.617177,-73.986447
Condo for sale,680000,2,2,847,"Elmhurst, NY 11373","90-20 55th Ave Unit 4AElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,40.7367106,-73.8722089
Co-op for sale,499000,2,1,2184.21,"Queens, NY 11372","34-47 82nd St Unit 1Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7537299,-73.88503
Townhouse for sale,2250000,4,2,1360,"Brooklyn, NY 11218","571 17th StBrooklyn, NY 11218",United States,New York,Kings County,Brooklyn,40.6568189,-73.9795706
Pending,550000,3,2,1520,"Staten Island, NY 10305","9 Zoe StStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5878221,-74.097086
Townhouse for sale,4995000,6,2.373860858,7868,"Manhattan, NY 10003","325 E 14th StManhattan, NY 10003",United States,New York,New York County,New York,40.7320958,-73.9837146
Pending,2650000,5,2,2500,"New York, NY 10028","64 E 86th St # 10BANew York, NY 10028",New York,New York County,New York,Manhattan,40.7804508,-73.9582141
House for sale,7188000,3,3,4108,"New York, NY 10007","60 Warren St Fl 3New York, NY 10007",New York,New York County,New York,Manhattan,40.7150155,-74.0093372
Townhouse for sale,1500000,14,7,6375,"Bronx, NY 10460","797 Fairmount Pl Unit BuildingBronx, NY 10460",United States,New York,Bronx County,The Bronx,40.8426571,-73.8884167
Co-op for sale,999000,1,1,2184.21,"Brooklyn, NY 11215","40 Prospect Park W Apt 3GBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,40.6698886,-73.9726587
Condo for sale,799000,2,2,868,"Bayside, NY 11361","214-11 35th Ave Unit 3ABayside, NY 11361",New York,Queens County,Queens,Bayside,40.7696789,-73.772159
Condo for sale,699000,1,1,2184.21,"Woodside, NY 11377","40-22 61st St Unit 2KWoodside, NY 11377",Queens County,Queens,Flushing,61st Street,40.7441863,-73.9037635
Co-op for sale,940000,2,1,2184.21,"Manhattan, NY 10021","401 E 74th St Apt 14AManhattan, NY 10021",New York,New York County,New York,Manhattan,40.7689684,-73.9543121
Townhouse for sale,3460000,2,2,2484,"Brooklyn, NY 11201","168 Plymouth St # ThcBrooklyn, NY 11201",United States,New York,Kings County,Brooklyn,40.7037221,-73.9870968
Condo for sale,1395000,2,2,2184.21,"Manhattan, NY 10028","233 E 86th St Apt 14CManhattan, NY 10028",New York,New York County,New York,Manhattan,40.778484,-73.9524912
House for sale,629000,3,2,1575,"Bronx, NY 10469","3312 Paulding Ave Unit ABronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8734881,-73.8582333
Townhouse for sale,2850000,4,2.373860858,1725,"Brooklyn, NY 11215","343 Prospect AveBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,40.6622005,-73.9869853
Co-op for sale,999000,1,1,2184.21,"Brooklyn, NY 11215","40 Prospect Park W Apt 3GBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,40.6698886,-73.9726587
Townhouse for sale,1500000,14,7,6375,"Bronx, NY 10460","797 Fairmount Pl Unit BuildingBronx, NY 10460",United States,New York,Bronx County,The Bronx,40.8426571,-73.8884167
Co-op for sale,940000,2,1,2184.21,"Manhattan, NY 10021","401 E 74th St Apt 14AManhattan, NY 10021",New York,New York County,New York,Manhattan,40.7689684,-73.9543121
Co-op for sale,2995000,3,4,2184.21,"New York, NY 10019","24 Central Park S # 3WNew York, NY 10019",New York,New York County,New York,Manhattan,40.7703005,-73.9804715
Co-op for sale,2750000,2,2,2184.21,"New York, NY 10065","1 E 66th St Unit 2ANew York, NY 10065",New York,New York County,New York,Manhattan,40.7687082,-73.9694439
Townhouse for sale,1100000,9,3,3944,"Bronx, NY 10457","1829 Topping AveBronx, NY 10457",United States,New York,Bronx County,The Bronx,40.8473585,-73.9057344
Co-op for sale,1395000,2,2,2184.21,"Manhattan, NY 10021","45 E 72nd St Apt 8BManhattan, NY 10021",New York,New York County,New York,Manhattan,40.7716485,-73.9646206
Pending,599000,3,3,1392,"Staten Island, NY 10308","245 Doane AveStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5556599,-74.1550879
Condo for sale,1395000,2,2,2184.21,"Manhattan, NY 10028","233 E 86th St Apt 14CManhattan, NY 10028",New York,New York County,New York,Manhattan,40.778484,-73.9524912
Multi-family home for sale,1049000,6,2,2184.21,"Middle Village, NY 11379","75-21 67th RdMiddle Village, NY 11379",United States,New York,Queens County,Queens,40.7124648,-73.8767192
Condo for sale,4250000,2,2,1778,"New York, NY 10001","15 Hudson Yards Apt 34ANew York, NY 10001",New York,New York County,New York,Manhattan,40.7537586,-74.003221
Co-op for sale,925000,3,2,1700,"New York, NY 10065","205 E 63rd St Apt 6BNew York, NY 10065",New York,New York County,New York,Manhattan,40.7640501,-73.964336
Condo for sale,1695000,2,2,1035,"Brooklyn, NY 11211","526 Union Ave Ph 1Brooklyn, NY 11211",New York,Kings County,Brooklyn,Williamsburg,40.7163702,-73.9515728
Condo for sale,599000,1,1,958,"Jackson Heights, NY 11372","37-32 89th St Unit 1AJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,40.7494499,-73.8778676
Co-op for sale,1250000,2,2,1350,"New York, NY 10065","860 Fifth Ave Unit 7FNew York, NY 10065",New York,New York County,New York,Manhattan,40.7695956,-73.9688773
Condo for sale,610000,3,2.373860858,923,"Brooklyn, NY 11238","55 Greene Ave Ste 2BBrooklyn, NY 11238",New York,Kings County,Brooklyn,Fort Greene,40.6863077,-73.9709274
Multi-family home for sale,2299000,8,5,2700,"Bayside, NY 11361","204-20 46 AveBayside, NY 11361",United States,New York,Queens County,Queens,40.7556144,-73.777277
House for sale,1350000,3,2.373860858,2184.21,"Nyc, NY 10029","219 E 115th StNyc, NY 10029",United States,New York,New York County,New York,40.7970316,-73.9395297
Co-op for sale,2395000,4,4,3600,"New York, NY 10017","870 United Nations Plz Units 31 & 32FNew York, NY 10017",New York,New York County,New York,Manhattan,40.7491926,-73.9695417
House for sale,3750000,13,8,2184.21,"Astoria, NY 11103","37-02 31st Ave Unit BuildingAstoria, NY 11103",United States,New York,Queens County,Queens,40.7618536,-73.9187072
Condo for sale,1080000,2,2,1545,"College Point, NY 11356","14-50 110th St Unit E301College Point, NY 11356",New York,Queens County,Queens,College Point,40.7841243,-73.8569018
Pending,450000,2,1,2184.21,"Brooklyn, NY 11211","256 S 4th St Apt 6Brooklyn, NY 11211",New York,Kings County,Brooklyn,Southside,40.709819,-73.957902
Multi-family home for sale,2250000,10,2.373860858,5200,"Brooklyn, NY 11219","1102 Ovington AveBrooklyn, NY 11219",United States,New York,Kings County,Brooklyn,40.6266296,-74.0077129
Co-op for sale,588888,3,2,1150,"Rego Park, NY 11374","9737 63rd Rd Apt 9ERego Park, NY 11374",New York,Queens County,Queens,Rego Park,40.7318958,-73.8599645
Co-op for sale,279000,2,1,2184.21,"Jamaica, NY 11432","160-10 89th Ave Unit 15LJamaica, NY 11432",New York,Queens County,Queens,Jamaica,40.7063799,-73.79996
Condo for sale,1199000,2,1,1080,"Brooklyn, NY 11209","9511 Shore Rd Apt 602Brooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6163434,-74.0377889
House for sale,1390000,3,2,1276,"Bronx, NY 10463","3401 Fort Independence StBronx, NY 10463",United States,New York,Bronx County,The Bronx,40.8807227,-73.8993457
Multi-family home for sale,1150000,6,3,2400,"Brooklyn, NY 11234","1240 E 48th StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6309272,-73.9303563
Co-op for sale,6350000,4,4,2184.21,"New York, NY 10024","230 Central Park W Apt 3ANew York, NY 10024",New York,New York County,New York,Manhattan,40.7836703,-73.9709274
Condo for sale,650000,2,2,1013,"Bronx, NY 10463","3625 Oxford Ave Apt 6BBronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,40.8870567,-73.908722
House for sale,599999,3,2,1340,"Brooklyn, NY 11212","524 Thomas S Boyland StBrooklyn, NY 11212",United States,New York,Kings County,Brooklyn,40.6677486,-73.9134481
Co-op for sale,395000,2,1,950,"Bronx, NY 10471","5900 Arlington Ave Apt 5HBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.909252,-73.905421
Co-op for sale,299000,1,1,700,"Jackson Heights, NY 11372","33-15 81st St Unit 4DJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,40.7547282,-73.8859706
Condo for sale,549000,2,2,1113,"Howard Beach, NY 11414","85-09 151st Ave Unit 1HHoward Beach, NY 11414",New York,Queens County,Queens,Howard Beach,40.6687898,-73.8494942
